Justificación,redacción
Alta de la cuenta para realizar funciones relacionadas con el puesto y el área.,"Se requiere el alta de la cuenta en Directorio Activo y Exchange, para que el usuario realice funciones relacionadas con el puesto y el área. Se solicita usuario y correo institucional."
Alta de la cuenta externa para realizar servicio social.,"Se requiere el alta de la cuenta en Directorio Activo y Exchange, para que el usuario externo realice funciones de servicio social.  Se solicita usuario genérico y correo institucional."
Baja de la cuenta por cambio de área.,"Se requiere la baja de la cuenta en Directorio Activo y Exchange, por cambio de área."
Baja de la cuenta por cambio de dirección o subdirección.,"Se requiere la baja de la cuenta en Directorio Activo y Exchange, por cambio de dirección o subdirección."
Baja de la cuenta por cambio de unidad administrativa.,"Se requiere la baja de la cuenta en Directorio Activo y Exchange, por cambio de unidad administrativa."
Baja de la cuenta por defunción.,"Se requiere la baja de la cuenta en Directorio Activo y Exchange, por defunción del usuario."
Baja de la cuenta por jubilación.,"Se requiere la baja de la cuenta en Directorio Activo y Exchange, por jubilación del usuario."
Baja de la cuenta por pérdida de confianza.,"Se requiere la baja de la cuenta en Directorio Activo y Exchange, por pérdida de confianza."
Baja de la cuenta por renuncia.,"Se requiere la baja de la cuenta en Directorio Activo y Exchange, por renuncia del usuario."
Baja de la cuenta por término de contrato.,"Se requiere la baja de la cuenta en Directorio Activo y Exchange, por término de contrato."
Cambio de datos en la cuenta.,Se requiere la actualización de datos en la cuenta.
Cambio de la fecha de expiración de la cuenta.,Se requiere la actualización de la fecha de expiración de la cuenta.
Reactivación de la cuenta por cambio de área.,"Se requiere la reactivación de la cuenta en Directorio Activo y Exchange, por cambio de área."
Reactivación de la cuenta por cambio de dirección o subdirección.,"Se requiere la reactivación de la cuenta en Directorio Activo y Exchange, por cambio de dirección o subdirección."
Reactivación de la cuenta por cambio de unidad administrativa.,"Se requiere la reactivación de la cuenta en Directorio Activo y Exchange, por cambio de unidad administrativa."
